Newly assigned number,Position on other spreadsheet,Source,WTSP_updated,Recording ID (if noted),Year,Date,Subpopulation (if specified),Province/State,Latitude,Longitude,Introductory Notes (if noted),Terminal Strophe type,Recordist,,Begin time,Name_for_scoring
45,312,Xeno Canto,WTSP77,XC54762,2008,2/5/08,,Tennessee,35.8589,-84.0948,,Triplet,Mike Nelson,Downloaded as mp3,00:19.5,WTSP85
46,316,Xeno Canto,WTSP47,XC59166,2010,10/5/10,,Maine,46.7678,-68.6009,,Triplet,Tayler Brooks,Downloaded as mp3,,WTSP86
47,321,Xeno Canto,WTSP39,XC89683,2011,2/11/11,,Tennessee,35.6028,-84.1228,,Triplet,Mike Nelson,Downloaded as mp3,,WTSP87
48,329,Xeno Canto,WTSP5,XC144431,2013,30/07/2013,,British Columbia,53.8832,-122.793,,Doublet,Patches Flores,Downloaded as mp3,,WTSP88
49,334,Xeno Canto,WTSP35,XC137568,2013,2/6/13,,Quebec,47.8534,-70.42,,Triplet,Martin St-Michel,Downloaded as mp3,,WTSP89
50,335,Xeno Canto,WTSP44,XC139053,2013,15/06/2013,,Quebec,47.8043,-70.7847,,Triplet,Martin St-Michel,Downloaded as mp3,,WTSP90
51,337,Xeno Canto,WTSP29,XC188416,2014,13/06/2014,,British Columbia,55.5267,-120.0314,,Doublet,Richard Webster,Downloaded as mp3,,WTSP91
52,346,Xeno Canto,WTSP13,XC190049,2014,18/06/2014,,British Columbia,56.327,-120.9521,,Doublet,Richard Webster,Downloaded as mp3,,WTSP92
53,351,Xeno Canto,WTSP67,XC187557,2014,11/7/14,,Maine,44.228,-68.312,,Triplet,Paul Driver,Downloaded as mp3,,WTSP93
54,354,Xeno Canto,WTSP24,XC246633,2014,17/05/2014,,Nova Scotia,46.5959,-60.3842,,Triplet,Jeffrey MacLeod,Downloaded as mp3,,WTSP94
55,359,Xeno Canto,WTSP69,XC236497,2015,18/04/2015,,New York,41.2042,-73.8862,,Triplet,Daniel Parker,Downloaded as mp3,,WTSP95
