"","file.name","max_min_ratio","log_max_min_ratio","min_max_ratio","note_number","mid_to_long_ratio","max_mean_int","min_mean_int","med_note_durs","long_note_durs","short_note_durs","max_note_dur","max_onset_interval_dur","max_mean_dur","min_mean_dur","min_max_dur_ratio"
"1","ML15562_terminal_strophes.wav",1.17606837606838,0.162176990701487,0.850290697674419,6,0.928571428571428,0.186397704590818,0.158492234281437,0.116227638473054,0.125168226047904,0.0650224550898203,0.133296032934132,0.297477732035928,0.104577781936128,0.0997010978043912,0.953367875647668
"2","ML15563_terminal_strophes.wav",1.30879345603272,0.269105686878846,0.7640625,6,0.732558139534884,0.173674048835889,0.132697827938671,0.102576235093697,0.140024701873935,0.0871083901192504,0.141652896081772,0.252370102214651,0.111802668938103,0.108003549119818,0.966019417475728
"3","ML15564_terminal_strophes.wav",1.27868852459016,0.24583496251628,0.782051282051282,6,0.809782608695652,0.190191076807229,0.148739175451807,0.121104574548193,0.149551957831325,0.0942827560240964,0.151177522590361,0.271469314759036,0.124084776606426,0.119208082329317,0.960698689956331
"4","ML15565_terminal_strophes.wav",1.01813471502591,0.01797224240443,0.982188295165395,9,0.740157480314961,0.159121686662946,0.156287458147321,0.101492373511905,0.13712267485119,0.0863764880952381,0.145760323660714,0.275325055803571,0.112721316964286,0.102842006138393,0.91235632183908
"5","ML15568_terminal_strophes.wav",1.10992148465382,0.104289278276327,0.900964630225081,12,0.969899665551839,0.167323683851609,0.150752720949264,0.117018975040917,0.120650598404255,0.091597611497545,0.125896276595745,0.242108224222586,0.111100774004364,0.108410682624114,0.975786924939468
"6","ML15570_terminal_strophes.wav",1.07563025210084,0.0729067708080879,0.9296875,9,0.870967741935484,0.155561320754717,0.144623415389151,0.102087116745283,0.117211134040881,0.0885835298742138,0.121532281839623,0.221998968160377,0.106300235849057,0.0980360406839622,0.922256097560975
"7","ML15571_terminal_strophes.wav",1.04285714285714,0.0419641990990316,0.958904109589042,9,0.951351351351351,0.147882869944853,0.141805491727941,0.0950772058823529,0.0999391084558823,0.0621243106617647,0.103720588235294,0.233371323529412,0.0897831341911765,0.0806265510110294,0.898014440433213
"8","ML15572_terminal_strophes.wav",1.08031088082902,0.0772488523339713,0.925659472422062,9,0.9375,0.168621318630064,0.156085920842217,0.10513559434968,0.112144633972992,0.0770994358564322,0.124545242537313,0.320259195095949,0.104488606076759,0.0901739905383795,0.863003095975233
"9","ML15573_terminal_strophes.wav",1.08616187989556,0.0826502710806172,0.920673076923077,9,0.763157894736842,0.168280911062907,0.154931704175705,0.0938489696312364,0.122974511930586,0.0792861984815618,0.144009625813449,0.320380965292842,0.100968546637744,0.0958715767353579,0.94951923076923
"10","ML15574_terminal_strophes.wav",1.46009389671362,0.37850074646981,0.684887459807074,6,0.915384615384615,0.168915417401529,0.115688051146384,0.0969498456790124,0.105911596119929,0.0716940035273369,0.110799823633157,0.229746693121693,0.096678277483833,0.0863586860670194,0.893258426966292
"11","ML15575_terminal_strophes.wav",1.24220623501199,0.216889020460681,0.805019305019305,6,0.699186991869919,0.141153656639004,0.113631418568465,0.0703043309128631,0.100551543049793,0.0621294087136929,0.107908973029046,0.184753241701245,0.0806592323651452,0.0746642894190871,0.925675675675676
"12","ML15576_terminal_strophes.wav",1.39354838709677,0.331853290764919,0.717592592592593,6,0.924050632911392,0.175892441860465,0.126219113372093,0.118890261627907,0.128662063953488,0.090389171511628,0.130290697674419,0.273610465116279,0.114004360465116,0.111289970930233,0.976190476190476
"13","ML15578_terminal_strophes.wav",1.42465753424658,0.353931457992981,0.701923076923077,6,0.76219512195122,0.169377777777778,0.118890170940171,0.10178952991453,0.133547863247863,0.08876047008547,0.149834188034188,0.267095726495726,0.112375641025641,0.103689601139601,0.922705314009662
"14","ML15580_terminal_strophes.wav",1.00833333333333,0.00829880281469506,0.991735537190083,9,0.906862745098039,0.147096934594756,0.145881257449344,0.0999556764004767,0.110221394517282,0.0761824344457688,0.116705005959476,0.22530549761621,0.0982267133492253,0.0919862373361144,0.936468646864687
"15","ML15581_terminal_strophes.wav",1.14754098360656,0.137621377876048,0.871428571428571,6,0.895104895104895,0.171030363105175,0.149040744991653,0.104247078464107,0.116463532971619,0.0610822725375626,0.123793405676127,0.242700229549249,0.0977316360601001,0.0901302865887591,0.922222222222223
"16","ML15582_terminal_strophes.wav",1.50387596899225,0.408045754701656,0.664948453608248,6,0.736434108527132,0.158175094517958,0.105178284499055,0.0774568761814745,0.105178284499055,0.065226843100189,0.119038988657845,0.264168714555766,0.0847948960302457,0.0804464398235665,0.94871794871795
"17","ML15584_terminal_strophes.wav",1.31641285956007,0.274910506772294,0.759640102827763,6,0.958333333333333,0.210604728929924,0.159983797940341,0.112069868607955,0.116942471590909,0.08039794921875,0.121815074573864,0.329712801846591,0.105031664299242,0.101241861979167,0.963917525773196
"18","ML15590_terminal_strophes.wav",1.0641975308642,0.0622210229972095,0.93967517401392,9,0.843220338983051,0.174277042651593,0.163763810380267,0.107288883179171,0.127237067488866,0.0889581192189106,0.135863309352518,0.266874357656732,0.112895940390545,0.10149312692703,0.898997134670487
"19","ML15592_terminal_strophes.wav",1.29140461215933,0.255730472645179,0.774350649350649,6,0.959731543624161,0.167169909757473,0.129448128172589,0.11642190143824,0.121306736463621,0.0814139170896785,0.122120875634518,0.247498307952623,0.106380851663847,0.106380851663847,1
